Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Training effect aeroob,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. balans grondcontacttijd,Gem. GAP,Gem. loopcadans,Max. loopcadans,Normalized Power® (NP®),Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Gem. vermogen,Max. vermogen,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Stappen,Totaal herhalingen,Totaal sets,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Stresswijziging,Stress vooraf,Stress achteraf,Gemiddelde stress,Max stress,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Hardlopen,2025-04-23 18:37:49,false,"Amsterdam Running","8.02","419","00:44:03","146","169","3.7","174","207","5:30","3:13","18","16","1.03","8.8","9.0","242","--","5:31","--","--","213","0.0","--","209","344","--","--","--","7,716","--","--","--","Nee","00:00:10.2","9","--","--","--","--","--","--","--","--","--","00:43:59","00:44:20","-2","7"
HIIT,2025-04-22 18:18:42,false,"HIIT","0.00","243","00:37:07","123","161","2.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","712","356","36","--","Nee","00:37:07","1","--","--","--","--","--","--","--","--","--","00:25:53","00:37:07","--","--"
Zwembad,2025-04-22 15:41:37,false,"ATAC Tuesday Swim","2,000","276","00:51:39","108","139","2.0","--","--","2:15","1:41","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1083","47","24","--","--","--","--","Nee","00:00:00.8","35","--","--","--","--","--","--","--","--","--","00:45:05","00:57:04","--","--"
Hardlopen,2025-04-21 15:35:59,false,"Amsterdam Running","5.07","266","00:28:26","145","155","3.2","169","184","5:37","4:05","15","8","1.04","9.0","9.4","249","--","5:38","--","--","208","0.0","--","207","310","--","--","--","4,818","--","--","--","Nee","00:00:24.7","6","--","--","--","--","--","--","--","--","--","00:28:20","00:32:53","-2","6"
Wegwielrennen,2025-04-19 09:05:59,false,"Valkenburg aan de Geul Road Cycling","143.30","2,218","05:52:14","148","175","5.0","--","--","24.4","58.4","2,031","1,962","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","12.0","Nee","00:08:30.8","29","25.0","35","19","44","--","--","--","--","--","05:51:44","07:14:43","56","326"
Zwembad,2025-04-17 17:04:32,false,"ATAC Friday Swim","2,000","257","00:46:26","118","152","2.2","--","--","2:11","1:46","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1083","46","25","--","--","--","--","Nee","00:00:06.5","17","--","--","--","--","--","--","--","--","--","00:43:45","00:48:46","--","--"
Hardlopen,2025-04-16 16:43:39,false,"Amsterdam Running","2.62","137","00:15:06","143","156","2.5","170","244","5:46","3:29","3","1","1.02","9.1","9.3","250","--","5:43","--","--","207","0.0","--","203","356","--","--","--","2,584","--","--","--","Nee","00:03:27.3","3","--","--","--","--","--","--","--","--","--","00:15:01","00:15:06","-0","4"
Wegwielrennen,2025-04-15 09:33:37,false,"Amsterdam Road Cycling","31.18","536","01:18:07","142","163","3.5","--","--","24.0","36.0","75","73","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","17.0","Nee","00:03:08.1","7","23.0","34","21","42","--","--","--","--","--","01:17:42","01:23:12","-5","7"
Zwembad,2025-04-14 21:04:58,false,"Pool Swim","1,575","427","00:55:31","136","172","3.1","--","--","2:05","0:46","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","893","45","27","--","--","--","--","Nee","00:00:05.7","39","--","--","--","--","--","--","--","--","--","00:32:46","00:57:02","--","--"
HIIT,2025-04-14 17:15:43,false,"HIIT","0.00","271","00:39:10","128","164","2.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","596","298","28","--","Nee","00:39:10","1","--","--","--","--","--","--","--","--","--","00:30:19","00:39:10","--","--"
Wegwielrennen,2025-04-12 08:28:31,false,"Amsterdam Road Cycling","91.76","1,367","03:29:41","140","176","4.6","--","--","26.3","37.1","181","173","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","12.0","Nee","00:04:53.3","19","31.0","33","13","43","--","--","--","--","--","03:28:49","05:10:44","-1","9"
Zwembad,2025-04-09 19:44:12,false,"Pool Swim","1,550","209","00:38:06","111","135","1.9","--","--","2:08","1:36","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","843","46","25","--","--","--","--","Nee","00:00:04.0","19","--","--","--","--","--","--","--","--","--","00:33:04","00:38:47","--","--"
Zwembad,2025-04-07 21:01:35,false,"Pool Swim","1,325","321","00:58:18","110","154","2.5","--","--","2:20","1:07","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","760","49","25","--","--","--","--","Nee","00:00:01.3","30","--","--","--","--","--","--","--","--","--","00:30:54","00:59:03","--","--"
Wegwielrennen,2025-04-07 13:10:36,false,"Amsterdam Road Cycling","15.22","265","00:36:29","136","162","2.7","--","--","25.0","36.9","43","44","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","14.0","Nee","00:00:32.9","4","26.0","32","18","40","--","--","--","--","--","00:36:21","00:47:36","-4","5"
Wegwielrennen,2025-04-05 10:48:24,false,"Muro Road Cycling","20.19","336","00:40:38","145","163","3.3","--","--","29.8","35.1","31","31","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","24.0","Nee","00:00:37.2","5","29.0","37","29","44","--","--","--","--","--","00:40:33","00:40:50","-1","17"
Multisport,2025-04-05 10:26:30,false,"Muro Multisport","25.56","676","01:23:40","--","168","4.0","--","--","18.3","--","47","37","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","--:--:--","5","--","--","--","--","--","--","--","--","--","--:--:--","01:26:10","-6","17"
Wegwielrennen,2025-04-04 08:55:01,false,"Muro Road Cycling","111.25","2,281","05:15:35","151","182","5.0","--","--","21.2","55.5","2,063","2,053","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","17.0","Nee","00:03:04.3","23","32.0","36","17","53","--","--","--","--","--","05:14:48","07:45:46","1","728"
Zwembad,2025-04-03 16:23:47,false,"Pool Swim","1,450","2,199","00:57:17","108","158","2.0","--","--","2:14","0:58","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","748","46","23","--","--","--","--","Nee","00:00:03.7","65","--","--","--","--","--","--","--","--","--","00:32:19","01:26:22","--","--"
